Countries,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21
Belgium,105,106,104,103,103,104,98,
Bulgaria,78,77,78,75,75,74,83,
Czechia,83,83,83,83,83,82,93,
Denmark,74,73,74,73,74,74,73,73
Germany ,92,92,92,92,92,92,105,
Estonia,91,91,91,91,91,91,92,
Ireland,76,76,73,77,77,77,91,91
Greece,130,124,123,120,115,112,138,
Spain,100,104,97,94,96,92,117,
France,87,87,87,88,87,88,112,
Croatia,92,92,92,92,92,92,101,
Italy,90,90,91,90,90,90,91,
Cyprus,93,96,86,94,96,88,90,
Latvia,89,89,89,98,98,98,98,98
Lithuania,96,96,96,96,95,96,93,
Luxembourg,94,94,94,94,94,94,93,
Hungary,90,90,91,91,92,93,93,
Malta,99,100,100,100,100,100,101,
Netherlands,78,78,78,80,78,74,92,
Austria,93,93,93,93,93,93,94,
Poland,91,91,91,91,91,88,94,
Portugal,93,93,92,93,94,94,94,
Romania,87,87,87,87,87,87,83,
Slovenia,94,95,95,95,95,95,107,
Slovakia,96,96,96,96,96,96,108,108
Finland,147,147,147,147,147,147,196,
Sweden,104,104,108,101,106,103,,
Norway,0,0,0,0,0,0,0,
United Kingdom,,,,,,,,
North Macedonia,0,0,0,0,0,0,0,
Albania,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,
Moldova,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,